id,mood,circumplex.arousal,circumplex.valence,activity,screen,call,sms,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather,target,smstime,calltime,weekday_0,weekday_1,weekday_2,weekday_3,weekday_4,weekday_5,weekday_6
AS14.01,,,,,,0,0,,,,,,,,,,,,,,956.0,952.0,0,0,0,0,1,0,0
AS14.01,,,,,,0,0,,,,,,,,,,,,,,956.0,952.0,0,0,0,0,0,1,0
AS14.01,,,,,,0,0,,,,,,,,,,,,,,956.0,952.0,0,0,0,0,0,0,1
AS14.01,,,,,,0,0,,,,,,,,,,,,,,956.0,952.0,1,0,0,0,0,0,0
AS14.01,,,,,,0,0,,,,,,,,,,,,,,956.0,952.0,0,1,0,0,0,0,0
AS14.01,,,,,,0,0,,,,,,,,,,,,,,956.0,952.0,0,0,1,0,0,0,0
AS14.01,,,,,,0,0,,,,,,,,,,,,,,956.0,952.0,0,0,0,1,0,0,0
AS14.01,,,,,,0,0,,,,,,,,,,,,,,956.0,952.0,0,0,0,0,1,0,0
AS14.01,,,,,,0,0,,,,,,,,,,,,,,956.0,952.0,0,0,0,0,0,1,0
AS14.01,,,,,,0,0,,,,,,,,,,,,,,956.0,952.0,0,0,0,0,0,0,1
AS14.01,,,,,,0,0,,,,,,,,,,,,,,956.0,952.0,1,0,0,0,0,0,0
AS14.01,,,,,,0,0,,,,,,,,,,,,,,956.0,952.0,0,1,0,0,0,0,0
AS14.01,,,,,,0,0,,,,,,,,,,,,,,956.0,952.0,0,0,1,0,0,0,0
AS14.01,,,,,,0,0,,,,,,,,,,,,,,956.0,952.0,0,0,0,1,0,0,0
AS14.01,,,,,,0,0,,,,,,,,,,,,,,956.0,952.0,0,0,0,0,1,0,0
AS14.01,,,,,,0,0,,,,,,,,,,,,,,956.0,952.0,0,0,0,0,0,1,0
AS14.01,,,,,,0,0,,,,,,,,,,,,,,956.0,952.0,0,0,0,0,0,0,1
AS14.01,,,,,,0,0,,,,,,,,,,,,,,956.0,952.0,1,0,0,0,0,0,0
AS14.02,,,,,,13,6,,,,,,,,,,,,,,971.0,1074.0,0,0,0,1,0,0,0
AS14.02,,,,,,11,4,,,,,,,,,,,,,,994.0,1102.0,0,0,0,0,1,0,0
AS14.02,,,,,,14,6,,,,,,,,,,,,,,977.0,1117.0,0,0,0,0,0,1,0
AS14.02,,,,,,12,8,,,,,,,,,,,,,,1008.0,1110.0,0,0,0,0,0,0,1
AS14.02,,,,,,14,9,,,,,,,,,,,,,,1013.0,1032.0,1,0,0,0,0,0,0
AS14.02,,,,,,15,8,,,,,,,,,,,,,,1041.0,981.0,0,1,0,0,0,0,0
AS14.02,,,,,,20,5,,,,,,,,,,,,,,1054.0,960.0,0,0,1,0,0,0,0
AS14.02,,,,,,19,4,,,,,,,,,,,,,,1072.0,978.0,0,0,0,1,0,0,0
AS14.02,,,,,,21,2,,,,,,,,,,,,,,1082.0,984.0,0,0,0,0,1,0,0
AS14.02,,,,,,21,3,,,,,,,,,,,,,,1079.0,989.0,0,0,0,0,0,1,0
AS14.02,,,,,,21,5,,,,,,,,,,,,,,1061.0,987.0,0,0,0,0,0,0,1
AS14.02,,,,,,13,5,,,,,,,,,,,,,,1047.0,988.0,1,0,0,0,0,0,0
AS14.02,,,,,,8,2,,,,,,,,,,,,,,1035.0,986.0,0,1,0,0,0,0,0
AS14.02,,,,,,14,1,,,,,,,,,,,,,,1038.0,989.0,0,0,1,0,0,0,0
AS14.02,,,,,,16,1,,,,,,,,,,,,,,1040.0,992.0,0,0,0,1,0,0,0
AS14.02,,,,,,24,2,,,,,,,,,,,,,,1047.0,999.0,0,0,0,0,1,0,0
AS14.02,,,,,,20,4,,,,,,,,,,,,,,1023.0,1003.0,0,0,0,0,0,1,0
AS14.02,,,,,,28,5,,,,,,,,,,,,,,999.0,990.0,0,0,0,0,0,0,1
AS14.02,,,,,,20,4,,,,,,,,,,,,,,975.0,972.0,1,0,0,0,0,0,0
AS14.02,,,,,,26,5,,,,,,,,,,,,,,969.0,958.0,0,1,0,0,0,0,0
AS14.02,,,,,,21,8,,,,,,,,,,,,,,970.0,960.0,0,0,1,0,0,0,0
